Keyword;Expected name;Type;Allowed values;Comment
SIMPLE;;boolean;true,false;conforms to FITS standard
BSCALE;;integer;1,inf;Linear factor in scaling equation
BZERO;;integer;1,inf;Zero point in scaling equation
BITPIX;;integer;8,16,32,64,-32,-64;array data type
NAXIS;;integer;1,inf;number of array dimensions
NAXIS1;;integer;1,1024;Number of columns
NAXIS2;;integer;1,1024;Number of rows
PROJID;;string;;Project identification code
OBSERVER;;string;;Observer(s)
OBJECT;;string;;Object name
OBSLONG;;float;-180180;Observatory East Longitude (DEG, -180 to 180)
OBSLAT;;float;-90,90;Observatory North Latitude (DEG, -90 to 90)
OBSALT;;float;0,inf;Observatory elevation above sea level (m)
INSTRUME;;string;SPARC4;Instrument name
INSTMODE;;string;PHOT,POLAR;Instrument mode: PHOT or POLAR
SYNCMODE;;string;SYNC,ASYNC;Synchronization across channels at start of acq
INSTROT;GUIDEANG;float;360;Instrument rotator angle in degrees
FILTER;;string;CLEAR,B,V,R,I;Filter
OBSTYPE;;string;OBJECT,ZERO,FLAT,DARK,FOCUS;Image type: OBJECT, ZERO, FLAT, DARK, FOCUS
CHANNEL;;integer;1,4;Instrument channel: 1 (g), 2 (r), 3 (i), 4 (z)
CHANNEL1;CHANNEL 1;boolean;true,false;Channel 1 is on (T) or off (F)
CHANNEL2;CHANNEL 2;boolean;true,false;Channel 2 is on (T) or off (F)
CCDSERN;;integer;9914,20000;CCD serial number
FILENAME;;string;;File name
DATE-OBS;;string;;UTC at start of observation (isot)
UTTIME;;string;;UTC time at start of observation
UTDATE;;string;;UTC date at start of observation
NCYCLES;;integer;1,inf;Number of cycles
CYCLIND;;integer;1,inf;Cycle index
NFRAMES;;integer;1,91500;Number of frames in sequence
FRAMEIND;;integer;1,91500;Frame index in sequence
EXPTIME;;float;0.00001,86400;Exposure time (s)
ACQMODE;;string;Single Scan,Kinetics;Acquisition mode
PREAMP;;string;Gain 1,Gain 2, Gain 4;Pre-amplifier gain
READRATE;;float;0.05, 1.0, 3.0, 5.0;Readout rate (MHz)
VSHIFT;;float;38.55, 76.95;Vertical shift speed (ms)
TRIGGER;;string;Internal,External;Trigger mode
VBIN;;integer;1,2048;Vertical binning (pix)
HBIN;;integer;1,2048;Horizontal binning (pix)
INITLIN;;integer;1,2048;Initial line (pix)
INITCOL;;integer;1,2048;Initial column (pix)
FINALLIN;;integer;1,2048;Final line (pix)
FINALCOL;;integer;1,2048;Final column (pix)
SHUTTER;;string;Open,Closed;Shutter mode
COOLER;;boolean;true,false;CCD cooler on: T or F
CCDTEMP;;integer;-80,25;CCD temperature (deg C)
TGTEMP;;integer;-80,25;CCD target temperature (deg C)
TEMPST;;string;TEMPERATURE_OFF,TEMPERATURE_NOT_REACHED,TEMPERATURE_NOT_STABILIZED,TEMPERATURE_STABILIZED;CCD temperature status
VCLKAMP;;string;Normal,+1,+2,+3,+4;Clock amplitude: Normal, +1, +2, +3, +4
GAIN;;float;0,inf;Gain (e-/ADU)
RDNOISE;;float;0,inf;Read noise (e-)
RA;RAACQUIS;string;;Right ascension: HH:MM:SS.ss
DEC;DECACQUIS;string;;Declination: DD:MM:SS.ss
EQUINOX;;float;0,inf;Equinox of coordinates
TELFOCUS;POSITION;integer;0,inf;Telescope focus position (arbitrary units)
TCSHA;HOURANGLE;string;;TCS hour angle: HH:MM:SS
TCSDATE;;string;;TCS local date (isot)
EXTTEMP;OUTTEMP;float;-20,30;Temperature (deg C), weather tower
AIRMASS;;float;1,inf;Airmass at start of observation
PRESSURE;;float;0,inf;Barometric pressure (mb), weather tower
HUMIDITY;OUTHUMIDITY;float;100;Relative humidity (%), weather tower
ACSVRSN;;string;;S4ACS software version
ICSVRSN;;string;;S4ICS software version
GUIVRSN;;string;;S4GUI software version
CTRLINTE;;string;S4GUI,S4GEI;Graphical control interface of ACS
ACSMODE;;boolean;true,false;ACS: real (T) or simulated (F)
TCSMODE;;boolean;true,false;TCS: real (T) or simulated (F)
ACQERROR;;boolean;true,false;Acquisition error - see comments
